S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
40,CAPE VERDE IS,175.76,0.0002,330.17,0.0004,226.22,0.0002,219.83,0.0001,513.32,0.0003,869.78,0.0005,2501.95,0.0013,936.52,0.0005,3179.56,0.0017,2594.11,0.0013,3047.34,0.0013,4698.21,0.0021,3187.77,0.0015,4945.46,0.0016,3599.72,0.001,2611.71,0.0007,55012.61,0.0879
41,CAYMAN IS,265.85,0.0003,376.82,0.0004,129.83,0.0001,449.25,0.0003,209.73,0.0001,1937.48,0.001,4030.21,0.0021,2337.23,0.0014,25804.42,0.014,17597.66,0.009,26313.91,0.0114,41727.8,0.0188,43786.46,0.0203,39456.17,0.0125,4566.31,0.0013,5900.33,0.0016,14916.34,0.0238
42,CHAD,7188.97,0.0086,3269.72,0.0039,5441.09,0.0048,18848.49,0.0129,25202.98,0.0154,20156.37,0.0106,24931.28,0.0131,28349.78,0.0165,452188.46,0.2445,492191.03,0.2516,691209.06,0.2995,561173.81,0.2528,595017.21,0.2756,880788.26,0.2799,46302.68,0.0128,66194.67,0.0183,136397.71,0.218
48,COLOMBIA,168762.56,0.2007,184004.33,0.2176,3922.13,0.0034,429357.34,0.2929,496577.53,0.3038,611532.15,0.321,10845.16,0.0057,11166.88,0.0065,90969.45,0.0492,75221.74,0.0384,93316.2,0.0404,80060.37,0.0361,317983.26,0.1473,423430.26,0.1345,32288.85,0.0089,23162.06,0.0064,74849.96,0.1196
49,COMOROS,11732.01,0.014,4396.85,0.0052,3057.76,0.0027,5278.34,0.0036,11255.99,0.0069,8242.06,0.0043,155942.87,0.0822,208515.52,0.1215,99.78,0.0001,115.45,0.0001,188.07,0.0001,222.47,0.0001,81208.48,0.0376,120169.53,0.0382,506600.44,0.1399,480453.1,0.1327,16892.35,0.027
53,COSTA RICA,15711.43,0.0187,15291.43,0.0181,42902.28,0.0377,31618.59,0.0216,40521.13,0.0248,49245.76,0.0259,189741.84,0.1001,260227.48,0.1516,27961.14,0.0151,26951.47,0.0138,24432.11,0.0106,33653.17,0.0152,104974.55,0.0486,370028.05,0.1176,715413.8,0.1975,567330.33,0.1568,33489.84,0.0535
55,CROATIA,39161.66,0.0466,42375.39,0.0501,11627.08,0.0102,54953.24,0.0375,72678.15,0.0445,84231.2,0.0442,22827.66,0.012,35324.65,0.0206,48035.64,0.026,64629.26,0.033,300326.48,0.1301,351948.02,0.1585,66830.07,0.031,104771.39,0.0333,64742.17,0.0179,33288.91,0.0092,12125.06,0.0194
57,CYPRUS,114200.89,0.1358,22192.93,0.0262,98190.7,0.0864,27275.09,0.0186,29990.76,0.0184,37524.13,0.0197,31253.73,0.0165,39062.01,0.0228,464709.55,0.2513,505271.24,0.2583,554923.56,0.2405,223390.43,0.1006,558182.22,0.2585,704095.0,0.2237,943900.13,0.2606,1151136.5,0.3181,122292.53,0.1955
58,CZECH REPUBLIC,83299.38,0.0991,84139.4,0.0995,314241.74,0.2764,130658.51,0.0891,136792.18,0.0837,237060.16,0.1244,230806.98,0.1217,318182.6,0.1854,187975.9,0.1016,242220.12,0.1238,150733.75,0.0653,151036.53,0.068,257017.72,0.119,531948.7,0.169,730921.44,0.2018,708924.86,0.1959,173314.62,0.277
59,DENMARK,267651.55,0.3183,274977.44,0.3252,145274.27,0.1278,361644.04,0.2467,384977.74,0.2356,461023.71,0.242,442504.35,0.2333,451489.34,0.263,150916.89,0.0816,126868.9,0.0648,902.21,0.0004,1530.25,0.0007,154574.53,0.0716,231129.08,0.0734,964245.67,0.2663,947592.84,0.2618,53634.82,0.0857
