S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
120,LIBYA,59829.6,0.0712,105495.91,0.1248,75.17,0.0001,30207.42,0.0206,117077.46,0.0716,173359.68,0.091,126502.11,0.0667,87403.46,0.0509,495.29,0.0003,1798.39,0.0009,89050.98,0.0386,78550.31,0.0354,9325.6,0.0043,10855.92,0.0034,284907.54,0.0787,260445.28,0.072,9157.58,0.0146
122,LITHUANIA,27293.6,0.0325,31131.95,0.0368,8562.6,0.0075,65749.19,0.0449,80253.61,0.0491,63495.23,0.0333,118.48,0.0001,545.58,0.0003,7702.24,0.0042,7342.96,0.0038,728.87,0.0003,4497.59,0.002,17149.69,0.0079,22791.53,0.0072,3520.7,0.001,795.1,0.0002,4632.27,0.0074
123,LUXEMBOURG,5138.89,0.0061,2250.22,0.0027,653.57,0.0006,4316.7,0.0029,4465.16,0.0027,7047.57,0.0037,63100.17,0.0333,57862.2,0.0337,1015.2,0.0005,8945.32,0.0046,13680.56,0.0059,16021.93,0.0072,240657.49,0.1115,262009.77,0.0833,22488.09,0.0062,30339.12,0.0084,31807.62,0.0508
124,MACAO,2580.3,0.0031,19367.34,0.0229,3798.52,0.0033,730.99,0.0005,525.28,0.0003,989.18,0.0005,5886.08,0.0031,5289.88,0.0031,9985.58,0.0054,11205.53,0.0057,138350.36,0.06,213387.08,0.0961,112063.8,0.0519,112158.14,0.0356,425495.22,0.1175,191865.5,0.053,16134.41,0.0258
125,MACEDONIA,4755.99,0.0057,3299.5,0.0039,36046.8,0.0317,4257.45,0.0029,4955.83,0.003,6496.99,0.0034,1464.9,0.0008,1292.1,0.0008,142836.72,0.0772,146907.13,0.0751,141795.37,0.0614,130729.24,0.0589,4497079.07,2.0829,5212357.37,1.6563,92276.15,0.0255,72216.99,0.02,1325750.51,2.1192
126,MADAGASCAR,111534.4,0.1327,41092.14,0.0486,46286.07,0.0407,59759.88,0.0408,83936.82,0.0514,145634.47,0.0764,8888.9,0.0047,8418.61,0.0049,119523.82,0.0646,128649.66,0.0658,4510372.2,1.9545,4510641.9,2.032,145155.52,0.0672,498288.92,0.1583,5726516.72,1.5812,6016559.47,1.6624,79821.96,0.1276
127,MALAWI,40906.58,0.0487,38696.72,0.0458,1767721.05,1.5548,70815.87,0.0483,83362.8,0.051,134331.86,0.0705,102094.85,0.0538,128421.41,0.0748,3504936.02,1.8951,3673820.56,1.8777,155689.22,0.0675,160809.47,0.0724,138270.43,0.064,154597.96,0.0491,383517.44,0.1059,738769.64,0.2041,16696.95,0.0267
128,MALAYSIA,1578036.2,1.8769,1350392.32,1.5971,45554.05,0.0401,1910321.0,1.3031,2414350.85,1.4773,2541360.81,1.334,130660.51,0.0689,115361.87,0.0672,132519.94,0.0717,139866.07,0.0715,91519.41,0.0397,103778.34,0.0468,237157.57,0.1098,356891.57,0.1134,106629.18,0.0294,99089.39,0.0274,36133.19,0.0578
129,MALDIVES,59028.43,0.0702,37849.5,0.0448,29610.36,0.026,59778.57,0.0408,66609.97,0.0408,64298.93,0.0338,3561410.74,1.878,2415933.2,1.4076,72286.95,0.0391,79644.49,0.0407,160644.4,0.0696,147350.94,0.0664,457.85,0.0002,777.38,0.0002,248131.56,0.0685,411447.06,0.1137,89.23,0.0001
130,MALI,17907.49,0.0213,19962.95,0.0236,341332.43,0.3002,47498.73,0.0324,42776.09,0.0262,65862.52,0.0346,93314.67,0.0492,117112.15,0.0682,92233.05,0.0499,126241.12,0.0645,224.57,0.0001,23135.47,0.0104,3148.99,0.0015,4660.34,0.0015,384.19,0.0001,1815.66,0.0005,505.12,0.0008
131,MALTA,48608.92,0.0578,331357.88,0.3919,88.76,0.0001,409210.72,0.2791,216176.3,0.1323,102830.55,0.054,81967.45,0.0432,70780.1,0.0412,96.31,0.0001,9013.07,0.0046,2502.29,0.0011,2686.24,0.0012,65640.47,0.0304,72256.86,0.023,4132.49,0.0011,3802.85,0.0011,17849.88,0.0285
134,MAURITANIA,16367.53,0.0195,14470.53,0.0171,386060.7,0.3396,22417.16,0.0153,22765.75,0.0139,35084.07,0.0184,3753.62,0.002,2943.24,0.0017,591974.06,0.3201,694660.59,0.3551,1960.67,0.0008,2222.49,0.001,2282893.67,1.0574,3298130.37,1.048,4511.34,0.0012,6270.5,0.0017,833788.96,1.3328
136,MEXICO,301051.91,0.3581,281108.28,0.3325,294.0,0.0003,657845.47,0.4487,886219.5,0.5423,1357128.29,0.7124,1164923.05,0.6143,557218.85,0.3246,2320558.91,1.2547,2438432.22,1.2463,235.73,0.0001,373.27,0.0002,8563.88,0.004,6738.17,0.0021,474.84,0.0001,513.32,0.0001,1633.17,0.0026
138,MOLDOVA,3065.25,0.0036,3094.92,0.0037,477.36,0.0004,3574.59,0.0024,4855.41,0.003,6357.72,0.0033,141.26,0.0001,234.39,0.0001,4499.83,0.0024,4603.68,0.0024,1765.71,0.0008,1392.63,0.0006,13996.46,0.0065,19358.09,0.0062,2217.94,0.0006,1954.09,0.0005,4646.69,0.0074
139,MONACO,158.76,0.0002,193.69,0.0002,9417.16,0.0083,252.31,0.0002,408.29,0.0002,186.12,0.0001,5372.72,0.0028,5100.03,0.003,1027.03,0.0006,1252.89,0.0006,15801.11,0.0068,11524.14,0.0052,14811.45,0.0069,16211.7,0.0052,27322.3,0.0075,27451.56,0.0076,24930.68,0.0399
143,MOZAMBIQUE,191948.96,0.2283,169504.92,0.2005,145903.12,0.1283,254681.14,0.1737,232115.6,0.142,232978.98,0.1223,208.84,0.0001,632.86,0.0004,250709.16,0.1356,278912.62,0.1426,753810.07,0.3266,1541061.38,0.6942,573219.7,0.2655,666478.49,0.2118,2012367.7,0.5557,1650459.78,0.456,77573.92,0.124
150,NETHERLANDANTIL,8633.71,0.0103,13947.06,0.0165,7615.25,0.0067,18498.07,0.0126,5737255.76,3.5105,4874447.28,2.5588,2785909.77,1.4691,2555150.62,1.4887,3401704.01,1.8393,4034396.77,2.062,21386.27,0.0093,21239.57,0.0096,8514.49,0.0039,14071.88,0.0045,24920.72,0.0069,17734.81,0.0049,1178.7,0.0019
152,NEW CALEDONIA,2055.12,0.0024,1667.5,0.002,13633.72,0.012,28909.92,0.0197,6858.22,0.0042,5331.01,0.0028,25013.41,0.0132,24258.7,0.0141,5435.65,0.0029,6603.53,0.0034,266096.85,0.1153,268226.99,0.1208,66321.63,0.0307,80065.54,0.0254,438263.8,0.121,445651.76,0.1231,20108.88,0.0321
153,NEW ZEALAND,85696.81,0.1019,121286.29,0.1434,21432.16,0.0189,120885.16,0.0825,164682.02,0.1008,167955.09,0.0882,6590.82,0.0035,3062.61,0.0018,207704.27,0.1123,227455.07,0.1163,37377.99,0.0162,46444.76,0.0209,64261.3,0.0298,68262.79,0.0217,87097.89,0.024,109572.51,0.0303,13289.7,0.0212
154,NICARAGUA,9447.83,0.0112,10956.72,0.013,954166.41,0.8392,21901.32,0.0149,32283.53,0.0198,36100.62,0.019,196894.8,0.1038,201459.73,0.1174,57825.13,0.0313,56278.31,0.0288,66470.54,0.0288,51922.77,0.0234,2315237.9,1.0723,3474512.68,1.1041,67549.78,0.0187,38991.83,0.0108,358169.7,0.5725
167,PARAGUAY,17636.87,0.021,17519.71,0.0207,400462.19,0.3522,32298.93,0.022,45107.57,0.0276,53946.34,0.0283,65379.65,0.0345,64314.29,0.0375,993278.4,0.5371,1091041.17,0.5576,1218940.56,0.5282,1081522.14,0.4872,1221246.97,0.5656,2030564.01,0.6452,1680070.34,0.4639,1736519.61,0.4798,162802.3,0.2602
169,PHILIPPINES,337935.11,0.4019,354650.05,0.4194,302942.35,0.2664,476321.82,0.3249,646549.08,0.3956,861017.68,0.452,853140.02,0.4499,887190.72,0.5169,803029.85,0.4342,993438.72,0.5078,1100446.09,0.4769,1096713.86,0.494,115422.22,0.0535,207757.85,0.066,1862284.79,0.5142,2016667.89,0.5572,235746.8,0.3768
171,POLAND,234698.64,0.2792,199041.83,0.2354,29497.44,0.0259,376889.18,0.2571,441237.41,0.27,604016.08,0.3171,388729.75,0.205,386607.81,0.2252,70891.31,0.0383,50303.54,0.0257,97078.12,0.0421,96520.52,0.0435,32509.05,0.0151,43731.4,0.0139,213852.94,0.0591,116239.73,0.0321,137181.98,0.2193
172,PORTUGAL,199195.84,0.2369,176883.87,0.2092,170914.44,0.1503,250161.61,0.1706,287387.33,0.1758,380859.86,0.1999,60755.41,0.032,75547.87,0.044,526164.24,0.2845,948771.97,0.4849,1124421.98,0.4872,899529.59,0.4052,274661.67,0.1272,441558.39,0.1403,1580100.45,0.4363,1407972.73,0.389,693194.62,1.1081
173,PUERTO RICO,30438.24,0.0362,41607.61,0.0492,17397.65,0.0153,49572.25,0.0338,57991.13,0.0355,55048.05,0.0289,644294.18,0.3398,589913.16,0.3437,27588.33,0.0149,29899.43,0.0153,32934.59,0.0143,28469.49,0.0128,1964970.48,0.9101,2423279.92,0.77,38017.22,0.0105,37522.57,0.0104,16793.63,0.0268
176,ROMANIA,228655.44,0.272,157495.59,0.1863,14739.85,0.013,128460.53,0.0876,154176.26,0.0943,173074.11,0.0909,1282356.22,0.6762,1040893.51,0.6064,59032.58,0.0319,58406.13,0.0299,101882.53,0.0441,87821.67,0.0396,2000.05,0.0009,1044.35,0.0003,115459.6,0.0319,110470.45,0.0305,171.93,0.0003
182,SAUDI ARAB,2294014.13,2.7285,1855230.35,2.1942,12295.18,0.0108,2720819.82,1.856,488.26,0.0003,558.88,0.0003,6802968.33,3.5874,4171203.04,2.4302,424647.28,0.2296,466840.96,0.2386,446080.92,0.1933,338825.33,0.1526,40948.68,0.019,33524.71,0.0107,911452.81,0.2517,776052.47,0.2144,48860.37,0.0781
183,SENEGAL,66069.08,0.0786,89332.24,0.1057,24654.74,0.0217,178241.95,0.1216,5324443.04,3.2579,7386393.58,3.8773,317315.94,0.1673,366106.26,0.2133,33563.28,0.0181,38055.09,0.0195,50658.02,0.022,59371.12,0.0267,112386.43,0.0521,133151.65,0.0423,66415.23,0.0183,88482.05,0.0244,2160749.64,3.454
184,SEYCHELLES,41355.12,0.0492,9504.44,0.0112,4473173.31,3.9343,16674.71,0.0114,267321.84,0.1636,258006.51,0.1354,25865.28,0.0136,28297.52,0.0165,24110.44,0.013,27125.53,0.0139,58633.27,0.0254,47968.93,0.0216,6438216.92,2.982,8301294.51,2.6378,52144.85,0.0144,63089.21,0.0174,400.54,0.0006
186,SINGAPORE,3775688.18,4.4908,3594829.7,4.2516,85230.28,0.075,8036299.98,5.4819,21111.49,0.0129,30852.01,0.0162,49267.81,0.026,59457.02,0.0346,6411508.51,3.4667,6578930.91,3.3626,8094224.79,3.5074,6302692.37,2.8392,115333.49,0.0534,127543.53,0.0405,9618496.34,2.6559,11939242.02,3.2988,80367.65,0.1285
188,SLOVENIA,73298.14,0.0872,91744.36,0.1085,40621.27,0.0357,108597.55,0.0741,7399496.63,4.5276,7496620.27,3.9352,83687.63,0.0441,89899.81,0.0524,97951.02,0.053,98261.68,0.0502,101963.44,0.0442,98144.51,0.0442,1218.31,0.0006,1379.83,0.0004,152851.52,0.0422,159783.45,0.0441,106769.74,0.1707
189,SOLOMON IS,408.87,0.0005,443.5,0.0005,1788466.08,1.573,576.15,0.0004,58234.13,0.0356,63120.16,0.0331,150260.67,0.0792,173628.57,0.1012,168650.48,0.0912,183188.25,0.0936,219635.21,0.0952,235877.2,0.1063,410482.13,0.1901,555705.3,0.1766,491400.52,0.1357,485870.85,0.1342,1209738.2,1.9338
190,SOMALIA,30883.97,0.0367,8282.32,0.0098,1168259.91,1.0275,71097.63,0.0485,149474.91,0.0915,127661.24,0.067,3222.72,0.0017,1787.76,0.001,1542.97,0.0008,823.6,0.0004,1789.42,0.0008,1435.8,0.0006,2907507.88,1.3467,4535311.16,1.4411,2158.18,0.0006,2476.01,0.0007,3233.59,0.0052
191,SOUTH AFRICA,899429.11,1.0698,975125.38,1.1533,1595089.35,1.4029,2272965.55,1.5505,826.53,0.0005,1246.5,0.0007,215736.09,0.1138,319004.63,0.1859,337900.53,0.1827,293485.63,0.15,377208.19,0.1635,414335.12,0.1866,16937.96,0.0078,20054.0,0.0064,761248.09,0.2102,679001.11,0.1876,661835.41,1.0579
192,SPAIN,1138792.36,1.3545,960376.26,1.1358,83.38,0.0001,1436677.78,0.98,99176.32,0.0607,128726.06,0.0676,3236326.24,1.7066,2340660.73,1.3637,2377797.85,1.2857,2465980.41,1.2604,2833396.89,1.2278,2911431.12,1.3115,2396170.03,1.1098,3524400.15,1.1199,6787323.04,1.8741,7208657.83,1.9917,595987.85,0.9527
193,SRI LANKA DSR,1089497.01,1.2959,1028960.86,1.2169,335.73,0.0003,2095145.8,1.4292,2780338.15,1.7012,3076994.55,1.6152,1925068.35,1.0151,2121294.92,1.2359,2187.11,0.0012,2280.08,0.0012,7358.86,0.0032,14252.47,0.0064,2585729.09,1.1976,4333369.93,1.377,26150.1,0.0072,34542.26,0.0095,79.77,0.0001
202,SWEDEN,257963.42,0.3068,225192.81,0.2663,223935.08,0.197,395277.85,0.2696,16514.22,0.0101,14597.87,0.0077,24595.39,0.013,38746.9,0.0226,502101.2,0.2715,530258.97,0.271,643454.38,0.2788,779108.26,0.351,564562.17,0.2615,772488.35,0.2455,9866.33,0.0027,24185.93,0.0067,163948.82,0.2621
205,TAIWAN,668173.16,0.7947,881271.49,1.0423,670141.48,0.5894,1598615.65,1.0905,607906.98,0.372,1073696.16,0.5636,114530.36,0.0604,89609.84,0.0522,475408.04,0.2571,497237.23,0.2541,13347.82,0.0058,13192.95,0.0059,1200649.37,0.5561,2055115.69,0.653,772058.5,0.2132,843613.8,0.2331,250313.16,0.4001
206,TAJIKISTAN,7630.08,0.0091,7452.33,0.0088,1034625.66,0.91,10199.74,0.007,140587.13,0.086,140901.85,0.074,1333672.7,0.7033,932864.15,0.5435,654302.22,0.3538,698697.94,0.3571,553490.49,0.2398,530066.73,0.2388,39496.21,0.0183,26405.02,0.0084,1081303.68,0.2986,1263803.95,0.3492,5399.13,0.0086
207,TANZANIA REP,472958.89,0.5625,436964.46,0.5168,245841.88,0.2162,769675.43,0.525,1655512.26,1.013,1206046.97,0.6331,32806.86,0.0173,14549.47,0.0085,81675.79,0.0442,98851.74,0.0505,829176.86,0.3593,850529.75,0.3831,1064420.68,0.493,1722386.07,0.5473,83554.02,0.0231,52271.08,0.0144,605891.32,0.9685
208,THAILAND,872399.5,1.0376,822762.26,0.9731,93209.83,0.082,1425353.49,0.9723,19135.95,0.0117,32728.04,0.0172,1513271.05,0.798,1080038.12,0.6293,1466603.92,0.793,1389930.89,0.7104,108091.89,0.0468,112993.85,0.0509,3130061.95,1.4497,4289767.75,1.3631,2110663.58,0.5828,1523600.84,0.421,633119.31,1.012
209,TIMOR LESTE,422.42,0.0005,577.85,0.0007,6724.13,0.0059,3740.24,0.0026,1173292.05,0.7179,2090708.47,1.0975,2120920.91,1.1184,1955688.6,1.1394,13708.42,0.0074,15433.64,0.0079,1851777.61,0.8024,1188440.32,0.5354,18661.71,0.0086,19425.3,0.0062,39609.5,0.0109,42684.12,0.0118,7849.39,0.0125
210,TOGO,65620.17,0.078,77157.73,0.0913,324.03,0.0003,173489.05,0.1183,2031024.16,1.2427,2243108.17,1.1775,1992.33,0.0011,2235.1,0.0013,1196655.93,0.647,1044000.2,0.5336,15628.32,0.0068,16663.29,0.0075,1139361.27,0.5277,2248060.7,0.7143,3157853.8,0.872,3826430.09,1.0572,549492.59,0.8784
223,UKRAINE,180771.03,0.215,136124.32,0.161,6561988.75,5.7715,236233.51,0.1611,19674080.47,12.0381,23658980.41,12.4193,338988.59,0.1788,373116.92,0.2174,5718181.76,3.0919,6243140.13,3.191,21021093.32,9.109,20423782.22,9.2005,543337.95,0.2517,970701.37,0.3085,63015151.31,17.4001,64176635.11,17.7318,19225.6,0.0307
224,UNION OF SERBIA & MONTENEGRO,6382.94,0.0076,6057.16,0.0072,38834.77,0.0342,19783.76,0.0135,253216.92,0.1549,321688.11,0.1689,212821.35,0.1122,169664.47,0.0988,28300800.88,15.3024,30860269.1,15.7731,6510479.78,2.8212,6188224.21,2.7877,77429.11,0.0359,112322.0,0.0357,449546.75,0.1241,420533.05,0.1162,496650.44,0.7939
225,UNSPECIFIED,2031903.63,2.4168,1961967.89,2.3204,27464.13,0.0242,7693573.45,5.2481,283140.72,0.1732,293117.05,0.1539,4070.06,0.0021,878.57,0.0005,331545.85,0.1793,343072.19,0.1753,36648039.35,15.8806,37616554.11,16.9455,714.99,0.0003,246.12,0.0001,106502.35,0.0294,143465.66,0.0396,19883.31,0.0318
226,URUGUAY,29728.79,0.0354,22875.58,0.0271,1130.75,0.001,67549.83,0.0461,38695.33,0.0237,18213.49,0.0096,2529718.89,1.334,1621406.64,0.9447,208005.94,0.1125,212814.44,0.1088,405783.27,0.1758,440613.31,0.1985,207190.56,0.096,202305.81,0.0643,2448253.58,0.676,2472621.68,0.6832,51.86,0.0001
